(0.650, 0.445), (0.660, 0.426), (0.670, 0.408), (0.680, 0.390)
(0.615, 0.425), (0.628, 0.410), (0.641, 0.395), (0.655, 0.380)
(0.280, -0.070), (0.255, -0.073), (0.230, -0.076), (0.205, -0.080)
(0.195, -0.045), (0.223, -0.043), (0.251, -0.041), (0.280, -0.040)
(-0.040, 0.325), (-0.040, 0.298), (-0.040, 0.271), (-0.040, 0.245)
(-0.085, 0.315), (-0.083, 0.290), (-0.081, 0.265), (-0.080, 0.240)
(0.380, 0.695), (0.395, 0.680), (0.410, 0.666), (0.420, 0.655)
(0.355, 0.680), (0.368, 0.666), (0.381, 0.653), (0.395, 0.640)
(0.105, 0.875), (0.100, 0.740), (0.110, 0.580), (0.220, 0.630)
(0.005, 0.820), (0.060, 0.750), (0.190, 0.590), (0.025, 0.530)
(-0.005, 0.825), (0.015, 0.865), (0.060, 0.885), (0.110, 0.880)
(0.150, 0.775), (0.200, 0.810), (0.265, 0.735), (0.210, 0.690)
(0.150, 0.775), (0.090, 0.730), (0.145, 0.655), (0.205, 0.685)
(0.010, 0.705), (0.070, 0.720), (0.110, 0.640), (0.055, 0.610)
(0.005, 0.705), (-0.055, 0.680), (-0.030, 0.575), (0.050, 0.610)
(0.125, 0.635), (0.200, 0.420), (0.365, 0.220), (0.655, 0.135)
(0.235, 0.125), (0.260, 0.123), (0.285, 0.121), (0.310, 0.120)
(0.335, 0.005), (0.285, 0.001), (0.235, -0.001), (0.185, -0.005)
(0.185, -0.005), (0.190, -0.045), (0.200, -0.090), (0.200, -0.125)
(0.190, -0.130), (0.265, -0.121), (0.340, -0.113), (0.415, -0.105)
(0.345, 0.005), (0.325, 0.040), (0.320, 0.075), (0.315, 0.120)
(00000, 00000), (0.075, 0.041), (0.135, 0.120), (0.235, 0.125)
(0.425, -0.110), (0.355, 0.175), (0.705, 0.050), (10000, -0.005)
(-0.124, 0.235), (-0.123, 0.260), (-0.121, 0.285), (-0.119, 0.310)
(-0.004, 0.335), (-0.001, 0.285), (0.001, 0.235), (0.005, 0.185)
(0.005, 0.185), (0.045, 0.190), (0.090, 0.200), (0.125, 0.200)
(0.130, 0.190), (0.121, 0.265), (0.113, 0.340), (0.105, 0.415)
(-0.004, 0.345), (-0.039, 0.325), (-0.074, 0.320), (-0.119, 0.315)
(00000, 00000), (-0.041, 0.075), (-0.119, 0.135), (-0.124, 0.235)
(0.110, 0.425), (-0.174, 0.355), (-0.049, 0.705), (0.005, 10000)
(0.444, 0.679), (0.431, 0.691), (0.418, 0.703), (0.404, 0.715)
(0.334, 0.669), (0.358, 0.643), (0.381, 0.616), (0.404, 0.590)
(0.404, 0.590), (0.382, 0.572), (0.354, 0.554), (0.337, 0.537)
(0.339, 0.529), (0.306, 0.571), (0.273, 0.613), (0.239, 0.655)
(0.329, 0.674), (0.357, 0.682), (0.377, 0.697), (0.402, 0.717)
(0.499, 0.499), (0.483, 0.558), (0.492, 0.627), (0.444, 0.679)
(0.232, 0.657), (0.409, 0.764), (0.172, 0.877), (-0.002, 0.997)
(0.555, 0.320), (0.568, 0.308), (0.581, 0.296), (0.595, 0.285)
(0.665, 0.330), (0.641, 0.356), (0.618, 0.383), (0.595, 0.410)
(0.595, 0.410), (0.617, 0.427), (0.645, 0.445), (0.662, 0.462)
(0.660, 0.470), (0.693, 0.428), (0.726, 0.386), (0.760, 0.345)
(0.670, 0.325), (0.642, 0.317), (0.622, 0.302), (0.597, 0.282)
(0.500, 0.500), (0.516, 0.441), (0.507, 0.372), (0.555, 0.320)
(0.767, 0.342), (0.590, 0.235), (0.827, 0.122), (1.002, 0.002)
